region,country,gender,total_answered,v_total,v_not_reported,v_action,v_no_action,p_total,p_not_reported,p_action,p_no_action
africa,botswana,m,4,3,3,0,0,1,1,0,0
africa,botswana,f,27,15,10,3,2,13,7,3,3
africa,botswana,n,0,0,0,0,0,0,0,0,0
africa,kenya,m,20,6,5,1,0,4,4,0,0
africa,kenya,f,62,49,36,6,7,32,26,2,4
africa,kenya,n,1,1,0,0,1,1,1,0,0
africa,malawi,m,37,5,5,0,0,0,0,0,0
africa,malawi,f,46,26,19,4,3,14,14,0,0
africa,malawi,n,4,0,0,0,0,0,0,0,0
africa,rwanda,m,41,7,4,1,2,5,4,1,0
africa,rwanda,f,59,24,20,1,3,17,17,0,0
africa,rwanda,n,3,2,2,0,0,1,1,0,0
africa,tanzania,m,13,2,2,0,0,3,3,0,0
africa,tanzania,f,76,36,28,6,2,29,22,2,5
africa,tanzania,n,1,1,1,0,0,1,1,0,0
africa,uganda,m,7,5,4,1,0,5,4,0,1
africa,uganda,f,38,24,21,2,1,20,17,2,1
africa,uganda,n,0,0,0,0,0,0,0,0,0
africa,zambia,m,17,10,7,3,0,6,4,2,0
africa,zambia,f,47,33,26,5,2,17,15,2,0
africa,zambia,n,4,2,2,0,0,2,2,0,0
africa,zimbabwe,m,9,1,1,0,0,0,0,0,0
africa,zimbabwe,f,49,20,11,8,1,13,6,4,3
africa,zimbabwe,n,1,1,1,0,0,0,0,0,0
sea,tanzania,m,13,2,2,0,0,3,3,0,0
sea,tanzania,f,76,36,28,6,2,29,22,2,5
sea,tanzania,n,1,1,1,0,0,1,1,0,0
sea,uganda,m,7,5,4,1,0,5,4,0,1
sea,uganda,f,38,24,21,2,1,20,17,2,1
sea,uganda,n,0,0,0,0,0,0,0,0,0
sea,zambia,m,17,10,7,3,0,6,4,2,0
sea,zambia,f,47,33,26,5,2,17,15,2,0
sea,zambia,n,4,2,2,0,0,2,2,0,0
sea,zimbabwe,m,9,1,1,0,0,0,0,0,0
sea,zimbabwe,f,49,20,11,8,1,13,6,4,3
sea,zimbabwe,n,1,1,1,0,0,0,0,0,0
russia,zimbabwe,m,9,1,1,0,0,0,0,0,0
russia,zimbabwe,f,49,20,11,8,1,13,6,4,3
russia,zimbabwe,n,1,1,1,0,0,0,0,0,0
